kappa,m_FB,a_FB,U_FB,is_optimal
0.48,4.166666666666667,1.0,84.16666666666666,True
0.481,4.158004158004158,1.0,84.15800415800416,True
0.482,4.149377593360996,1.0,84.149377593361,True
0.483,4.140786749482402,1.0,84.1407867494824,True
0.484,4.132231404958678,1.0,84.13223140495869,True
0.485,4.123711340206186,1.0,84.12371134020619,True
0.486,4.11522633744856,1.0,84.11522633744856,True
0.487,4.106776180698152,1.0,84.10677618069816,True
0.488,4.098360655737705,1.0,84.09836065573771,True
0.489,4.08997955010225,1.0,84.08997955010226,True
0.49,4.081632653061225,1.0,84.08163265306123,True
0.491,4.0733197556008145,1.0,84.0733197556008,True
0.492,4.065040650406504,1.0,84.0650406504065,True
0.493,4.056795131845842,1.0,84.05679513184583,True
0.494,4.048582995951417,1.0,84.04858299595142,True
0.495,4.040404040404041,1.0,84.04040404040404,True
0.496,4.032258064516129,1.0,84.03225806451613,True
0.497,4.0241448692152915,1.0,84.02414486921529,True
0.498,4.016064257028113,1.0,84.0160642570281,True
0.499,4.008016032064128,1.0,84.00801603206413,True
0.5,4.0,1.0,84.0,True
0.501,3.992015968063872,1.0,83.99201596806388,True
0.502,3.9840637450199203,1.0,83.98406374501991,True
0.503,3.9761431411530817,1.0,83.97614314115307,True
0.504,3.9682539682539684,1.0,83.96825396825396,True
0.505,3.9603960396039604,1.0,83.96039603960395,True
0.506,3.952569169960474,1.0,83.95256916996048,True
0.507,3.9447731755424065,1.0,83.94477317554241,True
0.508,3.937007874015748,1.0,83.93700787401575,True
0.509,3.9292730844793713,1.0,83.92927308447936,True
0.51,3.9215686274509802,1.0,83.92156862745098,True
0.511,3.9138943248532287,1.0,83.91389432485323,True
0.512,3.90625,1.0,83.90625,True
0.513,3.898635477582846,1.0,83.89863547758284,True
0.514,3.8910505836575875,1.0,83.89105058365759,True
0.515,3.883495145631068,1.0,83.88349514563106,True
0.516,3.875968992248062,1.0,83.87596899224806,True
0.517,3.8684719535783363,1.0,83.86847195357834,True
0.518,3.861003861003861,1.0,83.86100386100385,True
0.519,3.8535645472061657,1.0,83.85356454720616,True
0.52,3.846153846153846,1.0,83.84615384615385,True
0.521,3.838771593090211,1.0,83.8387715930902,True
0.522,3.8314176245210727,1.0,83.83141762452108,True
0.523,3.8240917782026767,1.0,83.82409177820269,True
0.524,3.8167938931297707,1.0,83.81679389312977,True
0.525,3.8095238095238093,1.0,83.80952380952381,True
0.526,3.8022813688212924,1.0,83.80228136882128,True
0.527,3.795066413662239,1.0,83.79506641366224,True
0.528,3.7878787878787876,1.0,83.7878787878788,True
0.529,3.7807183364839316,1.0,83.78071833648393,True
0.53,3.773584905660377,1.0,83.77358490566039,True
0.531,3.766478342749529,1.0,83.76647834274954,True
0.532,3.7593984962406015,1.0,83.75939849624059,True
0.533,3.7523452157598496,1.0,83.75234521575985,True
0.534,3.745318352059925,1.0,83.74531835205993,True
0.535,3.7383177570093458,1.0,83.73831775700936,True
0.536,3.731343283582089,1.0,83.73134328358209,True
0.537,3.7243947858472994,1.0,83.72439478584731,True
0.538,3.717472118959108,1.0,83.71747211895911,True
